,ID,EXPECTED_RESULT,EXPECTED_TEXT,IDEA,TYPE,PATH,UUID,AGE_RANGE,FIRST_LANGUAGE,GENDER
255,fright,0,fright,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_fright.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
256,drive_left,1,drive left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_drive_left.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
257,right,1,right,5,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_right.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
258,rightmost,0,rightmost,4,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_rightmost.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
259,left_hander,0,left-hander,4,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_left_hander.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
260,go_right,1,go right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_go_right.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
261,forward,1,forward,5,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_forward.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
262,right_left,0,right left,0,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_right_left.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
263,grith,0,girth,1,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_grith.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
264,write,0,write,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_write.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
265,your_word,0,your word,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_your_word.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
266,do_a_barrel_roll,1,do a barrel roll,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_do_a_barrel_roll.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
267,go_forward,1,go forward,3,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_go_forward.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
268,drive_ahead,0,drive ahead,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_drive_ahead.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
269,bad_word,0,bad word,9,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36/6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36_bad_word.wav,6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
270,don_t_go_forward,0,don't go forward,6,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14/1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14_don_t_go_forward.wav,1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14,22-25,german,female
271,forwardness,0,forwardness,7,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14/1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14_forwardness.wav,1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14,22-25,german,female
272,leftmost,0,leftmost,4,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_leftmost.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
273,backward,1,backward,5,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_backward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
274,don_t_go_backward,0,don't go backward,6,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_don_t_go_backward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
275,move_left,1,move left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_move_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
276,wright,0,wright,2,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_wright.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
277,don_t_go_forward,0,don't go forward,6,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_don_t_go_forward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
278,go_back,1,go back,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_back.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
279,straightforward,0,straightforward,7,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_straightforward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
280,turn_right,0,turn right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_turn_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
281,scan_right,0,scan right,7,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_scan_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
282,don_t_go_left,0,don't go left,6,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_don_t_go_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
283,stop,1,stop,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_stop.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
284,go_left,1,go left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
285,go_backward,1,go backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_backward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
286,bad_word,0,bad word,9,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_bad_word.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
287,air_fright,0,air fright,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_air_fright.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
288,right,1,right,5,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
289,right_away,0,right away,7,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_right_away.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
290,do_a_barrel_roll,1,do a barrel roll,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_do_a_barrel_roll.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
291,manufactured,0,manufactured,8,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_manufactured.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
292,drive_right,1,drive right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_drive_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
293,placard,0,placard,8,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_placard.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
294,right_hander,0,right-hander,4,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_right_hander.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
295,go_right,1,go right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
296,grith,0,girth,1,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_grith.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
297,turn_left,1,turn left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_turn_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
298,write,0,write,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_write.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
299,backwardness,0,backwardness,7,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_backwardness.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
300,left_right,0,left right,0,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_left_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
301,forwardness,0,forwardness,7,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_forwardness.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
302,scan_left,0,scan left,7,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_scan_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
303,drive_backward,1,drive backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_drive_backward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
304,move_right,1,move right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_move_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
305,theft,0,theft,8,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_theft.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
306,forward,1,forward,5,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_forward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
307,move_backward,1,move backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_move_backward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
308,drawback,0,drawback,1,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_drawback.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
309,move_forward,1,move forward,3,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_move_forward.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
310,felt,0,felt,1,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_felt.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
311,go_on,1,go on,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_on.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
312,right_left,0,right left,0,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_right_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
313,clefting,0,clefting,2,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_clefting.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
314,drive_ahead,0,drive ahead,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_drive_ahead.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
315,don_t_go_right,0,don't go right,6,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_don_t_go_right.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
316,rightmost,0,rightmost,4,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_rightmost.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
317,drive_left,1,drive left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_drive_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
318,byte,0,byte,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_byte.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
319,left,1,left,5,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_left.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
320,fright,0,fright,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_fright.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
321,go_away,1,go away,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10/d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10_go_away.wav,d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
